GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons IO,org.apache.commons.io,FileDeleteStrategy,3,62,0,8,2,13,0,10,0,6
Apache Commons IO,org.apache.commons.io,FileSystem,57,537,10,26,15,45,12,22,5,11
Apache Commons IO,org.apache.commons.io,IOUtils,177,1762,25,217,48,423,32,230,14,127
Apache Commons IO,org.apache.commons.io,IOExceptionWithCause,4,5,0,0,2,2,1,1,1,1
Apache Commons IO,org.apache.commons.io,HexDump,3,298,0,24,2,37,1,16,1,4
Apache Commons IO,org.apache.commons.io,FileCleaningTracker,3,111,1,5,1,29,2,10,1,8
Apache Commons IO,org.apache.commons.io,TaggedIOException,3,37,1,7,1,9,2,7,1,4
Apache Commons IO,org.apache.commons.io,CopyUtils,31,135,0,4,9,40,2,13,2,11
Apache Commons IO,org.apache.commons.io.function,IOConsumer,14,0,0,0,5,0,2,0,2,0
Apache Commons IO,org.apache.commons.io.filefilter,AbstractFileFilter,0,22,0,0,0,4,0,4,0,4
Apache Commons IO,org.apache.commons.io.filefilter,PrefixFileFilter,6,189,4,22,0,44,4,18,0,9
Apache Commons IO,org.apache.commons.io.filefilter,HiddenFileFilter,0,16,0,0,0,5,0,3,0,3
Apache Commons IO,org.apache.commons.io.filefilter,DelegateFileFilter,5,78,1,9,1,19,1,9,0,5
Apache Commons IO,org.apache.commons.io.filefilter,WildcardFileFilter,2,193,2,24,0,44,2,20,0,9
Apache Commons IO,org.apache.commons.io.filefilter,TrueFileFilter,0,14,0,0,0,6,0,4,0,4
Apache Commons IO,org.apache.commons.io.filefilter,RegexFileFilter,0,72,2,10,0,24,2,9,0,5
Apache Commons IO,org.apache.commons.io.filefilter,NotFileFilter,0,48,0,6,0,8,0,7,0,4
Apache Commons IO,org.apache.commons.io.filefilter,SizeFileFilter,0,65,0,8,0,12,0,8,0,4
Apache Commons IO,org.apache.commons.io.filefilter,SuffixFileFilter,6,189,4,22,0,44,4,18,0,9
Apache Commons IO,org.apache.commons.io.filefilter,AndFileFilter,11,167,2,24,3,44,3,20,1,9
Apache Commons IO,org.apache.commons.io.filefilter,MagicNumberFileFilter,1,170,2,18,1,41,2,14,0,6
Apache Commons IO,org.apache.commons.io.filefilter,WildcardFilter,4,120,2,18,2,26,2,13,0,5
Apache Commons IO,org.apache.commons.io.filefilter,IOFileFilter,0,4,0,0,0,1,0,1,0,1
Apache Commons IO,org.apache.commons.io.filefilter,FileFileFilter,0,11,0,0,0,4,0,3,0,3
Apache Commons IO,org.apache.commons.io.filefilter,AgeFileFilter,0,73,0,4,0,18,0,10,0,8
Apache Commons IO,org.apache.commons.io.filefilter,CanExecuteFileFilter,0,16,0,0,0,5,0,3,0,3
Apache Commons IO,org.apache.commons.io.filefilter,DirectoryFileFilter,0,13,0,0,0,5,0,3,0,3
Apache Commons IO,org.apache.commons.io.filefilter,FalseFileFilter,0,14,0,0,0,6,0,4,0,4
Apache Commons IO,org.apache.commons.io.filefilter,CanWriteFileFilter,0,16,0,0,0,5,0,3,0,3
Apache Commons IO,org.apache.commons.io.filefilter,FileFilterUtils,17,410,1,33,3,80,3,58,2,42
Apache Commons IO,org.apache.commons.io.filefilter,OrFileFilter,2,164,3,19,0,43,3,18,0,10
Apache Commons IO,org.apache.commons.io.filefilter,CanReadFileFilter,0,22,0,0,0,6,0,3,0,3
Apache Commons IO,org.apache.commons.io.filefilter,EmptyFileFilter,0,37,1,7,0,8,1,6,0,3
Apache Commons IO,org.apache.commons.io.filefilter,NameFileFilter,1,194,2,24,0,44,2,20,0,9
Apache Commons IO,org.apache.commons.io.file,PathUtils,52,410,8,56,8,82,10,49,2,25
Apache Commons IO,org.apache.commons.io.file,CleaningPathVisitor,1,72,2,8,0,14,2,9,0,6
Apache Commons IO,org.apache.commons.io.file,PathUtils.RelativeSortedPaths,5,131,5,19,1,29,5,8,0,1
Apache Commons IO,org.apache.commons.io.file,Counters.AbstractPathCounters,4,97,2,8,2,17,2,10,0,7
Apache Commons IO,org.apache.commons.io.file,Counters,3,18,0,0,1,4,1,4,1,4
Apache Commons IO,org.apache.commons.io.file,DeletingPathVisitor,1,83,2,10,0,17,2,11,0,7
Apache Commons IO,org.apache.commons.io.file,Counters.BigIntegerPathCounters,0,6,0,0,0,2,0,1,0,1
Apache Commons IO,org.apache.commons.io.file,AccumulatorPathVisitor,68,55,11,1,13,11,9,7,3,7
Apache Commons IO,org.apache.commons.io.file,SimplePathVisitor,0,3,0,0,0,2,0,1,0,1
Apache Commons IO,org.apache.commons.io.file,Counters.BigIntegerCounter,4,61,2,2,2,15,2,9,0,9
Apache Commons IO,org.apache.commons.io.file,CountingPathVisitor,13,73,3,3,3,20,4,10,1,10
Apache Commons IO,org.apache.commons.io.file,CopyDirectoryVisitor,2,63,1,3,0,13,1,5,0,4
Apache Commons IO,org.apache.commons.io.file,Counters.LongPathCounters,0,6,0,0,0,2,0,1,0,1
Apache Commons IO,org.apache.commons.io.file,Counters.LongCounter,4,58,2,4,2,13,2,9,0,8
Apache Commons IO,org.apache.commons.io.comparator,NameFileComparator,0,69,0,2,0,14,0,6,0,5
Apache Commons IO,org.apache.commons.io.comparator,CompositeFileComparator,0,138,0,14,0,32,0,12,0,5
Apache Commons IO,org.apache.commons.io.comparator,DirectoryFileComparator,0,28,0,2,0,5,0,5,0,4
Apache Commons IO,org.apache.commons.io.comparator,DefaultFileComparator,0,17,0,0,0,4,0,3,0,3
Apache Commons IO,org.apache.commons.io.comparator,SizeFileComparator,0,105,2,14,0,25,2,11,0,5
Apache Commons IO,org.apache.commons.io.comparator,LastModifiedFileComparator,0,33,0,4,0,9,0,5,0,3
Apache Commons IO,org.apache.commons.io.comparator,ReverseComparator,5,30,1,1,1,6,1,3,0,3
Apache Commons IO,org.apache.commons.io.comparator,PathFileComparator,0,69,0,2,0,14,0,6,0,5
Apache Commons IO,org.apache.commons.io.comparator,AbstractFileComparator,0,21,0,4,0,8,0,6,0,4
Apache Commons IO,org.apache.commons.io.comparator,ExtensionFileComparator,0,75,0,2,0,16,0,6,0,5
